canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
library-of-congress-08cbe45d,unpublished,5,5,carter; reagan,container,Library of Congress,frus1977-80v12; frus1977-80v24; frus1977-80v29; frus1981-88v04; frus1981-88v11
national-archives-and-records-administration-college-park-ma-6dd0b406,unpublished,5,5,carter,container; source,"National Archives and Records Administration, College Park, Maryland > Record Group 59, General Records of the Department of State",frus1977-80v01; frus1977-80v02; frus1977-80v11p1; frus1977-80v17p1; frus1977-80v18
new-york-times-ed185357,published,5,5,bush-ghw; carter; reagan,source,New York Times,frus1977-80v16; frus1977-80v24; frus1981-88v13; frus1981-88v41; frus1989-92v31
ronald-reagan-presidential-library-simi-valley-california-61eec4d2,unpublished,5,5,reagan,container,"Ronald Reagan Presidential Library, Simi Valley, California",frus1981-88v03; frus1981-88v04; frus1981-88v05; frus1981-88v06; frus1981-88v11
the-wall-street-journal-7f6044d6,published,5,5,carter,source,The Wall Street Journal.,frus1977-80v01; frus1977-80v02; frus1977-80v18; frus1977-80v21; frus1977-80v29
central-intelligence-agency-langley-virginia-office-of-suppo-3934b03e,unpublished,4,4,carter,container,"Central Intelligence Agency, Langley, Virginia > Office of Support Services, Directorate of Intelligence",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v16; frus1977-80v18
chicago-tribune-d6ca6d2d,published,4,4,carter; reagan,source,Chicago Tribune,frus1977-80v02; frus1977-80v08; frus1977-80v16; frus1981-88v41
congressional-quarterly-congress-and-the-nation-1977-1980-vo-4d7ac02e,published,4,4,carter,source,"Congressional Quarterly. Congress and the Nation, 1977-1980, vol. V. Washington: Congressional Quarterly, Inc., 1981.",frus1977-80v06; frus1977-80v18; frus1977-80v20; frus1977-80v21
department-of-state-lot-files-these-files-have-been-transfer-72440de7,unpublished,4,4,carter,source,"Department of State > Lot Files. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland.",frus1977-80v06; frus1977-80v21; frus1977-80v23; frus1977-80v27
foreign-affairs-ec0eb4bc,published,4,4,carter; reagan,source,Foreign Affairs.,frus1977-80v01; frus1977-80v30; frus1981-88v01; frus1981-88v38
jimmy-carter-library-atlanta-georgia-plains-file-fb63b800,unpublished,4,4,carter,container,"Jimmy Carter Library, Atlanta, Georgia > Plains File",frus1977-80v01; frus1977-80v02; frus1977-80v17p1; frus1977-80v30
jimmy-carter-presidential-library-atlanta-georgia-national-s-b4561d38,unpublished,4,4,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > Agency File",frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v19
jimmy-carter-presidential-library-atlanta-georgia-national-s-b1edcb70,unpublished,4,4,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > Trip File",frus1977-80v12; frus1977-80v15; frus1977-80v18; frus1977-80v19
jimmy-carter-presidential-library-atlanta-georgia-national-s-4471ad52,unpublished,4,4,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Staff Material > Global Issues",frus1977-80v06; frus1977-80v18; frus1977-80v19; frus1977-80v26
jimmy-carter-presidential-library-atlanta-georgia-national-s-a562c68b,unpublished,4,4,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Staff Material > Office",frus1977-80v15; frus1977-80v18; frus1977-80v19; frus1977-80v21
jimmy-carter-presidential-library-atlanta-georgia-national-s-21db53a8,unpublished,4,4,carter,container; source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Staff Material > Office File",frus1977-80v06; frus1977-80v11p1; frus1977-80v12; frus1977-80v26
jimmy-carter-presidential-library-atlanta-georgia-national-s-f8030427,unpublished,4,4,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Council > Institutional Files",frus1977-80v15; frus1977-80v16; frus1977-80v18; frus1977-80v21
national-archives-and-records-administration-college-park-ma-92d4b2e7,unpublished,4,4,carter,source,"National Archives and Records Administration, College Park, Maryland > Central Foreign Policy File",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1; frus1977-80v17p3
ronald-reagan-presidential-library-simi-valley-california-wh-da6b0d09,unpublished,4,4,reagan,container,"Ronald Reagan Presidential Library, Simi Valley, California > White House Staff and Office Files > Files of the Executive Secretariat, National Security Council",frus1981-88v04; frus1981-88v05; frus1981-88v38; frus1981-88v44p1
shultz-george-p-turmoil-and-triumph-my-years-as-secretary-of-96e0b4c0,published,4,4,reagan,source,"Shultz, George P. Turmoil and Triumph: My Years as Secretary of State. New York: Scribner’s, 1993.",frus1981-88v04; frus1981-88v05; frus1981-88v13; frus1981-88v44p1
washington-national-records-center-suitland-maryland-5cda009f,unpublished,4,4,carter,container,"Washington National Records Center, Suitland Maryland",frus1977-80v15; frus1977-80v19; frus1977-80v21; frus1977-80v24
carter-jimmy-keeping-faith-memoirs-of-a-president-toronto-ba-bdace148,published,3,3,carter,source,"Carter, Jimmy. Keeping Faith: Memoirs of a President. Toronto: Bantam Books, 1982.",frus1977-80v11p1; frus1977-80v13; frus1977-80v17p1
carter-jimmy-white-house-diary-new-york-farrar-straus-giroux-e8f72768,published,3,3,carter,source,"Carter, Jimmy. White House Diary. New York: Farrar, Straus, Giroux, 2010.",frus1977-80v01; frus1977-80v02; frus1977-80v08
central-intelligence-agency-office-of-support-services-direc-eccf79d6,unpublished,3,3,carter,container,"Central Intelligence Agency > Office of Support Services, Directorate of Intelligence",frus1977-80v15; frus1977-80v17p3; frus1977-80v24
central-intelligence-agency-office-of-the-director-of-centra-38d34141,unpublished,3,3,carter,source,Central Intelligence Agency > Office of the Director of Central Intelligence > Job 81B00112R: Subject Files,frus1977-80v12; frus1977-80v19; frus1977-80v23
central-intelligence-agency-office-of-the-director-of-centra-21040685,unpublished,3,3,carter,source,Central Intelligence Agency > Office of the Director of Central Intelligence > Job 82M00501R: 1980 Subject Files,frus1977-80v12; frus1977-80v19; frus1977-80v23
central-intelligence-agency-office-of-the-director-of-centra-4a91f8cb,unpublished,3,3,reagan,source,Central Intelligence Agency > Office of the Director of Central Intelligence > Job 88B00443R: Policy Files (1980-1986),frus1981-88v04; frus1981-88v05; frus1981-88v44p1
